_id,callingstationid,created_at,created_date,rss
5b0562e0ea6ee3062b123f65,7c:78:7e:ee:4d:c1,1527099303,2018-05-23T12:45:03.000Z,-83
5b0562e0ea6ee3062b123f66,bc:d1:1f:16:db:6c,1527099304,2018-05-23T12:45:04.000Z,-93
5b0562e0ea6ee3062b123f67,1c:67:58:c7:25:ce,1527099313,2018-05-23T12:45:13.000Z,-89
5b0562e0ea6ee3062b123f68,20:82:c0:6c:3e:d2,1527099321,2018-05-23T12:45:21.000Z,-84
5b0562e0ea6ee3062b123f69,c0:9f:05:6e:61:ec,1527099332,2018-05-23T12:45:32.000Z,-84
5b0562e0ea6ee3062b123f6a,5c:99:60:cc:67:d7,1527099336,2018-05-23T12:45:36.000Z,-84
5b0562e0ea6ee3062b123f6b,a8:96:75:87:70:22,1527099341,2018-05-23T12:45:41.000Z,-95
5b0562e0ea6ee3062b123f6c,da:a1:19:d0:4b:ff,1527099347,2018-05-23T12:45:47.000Z,-86
5b0562e0ea6ee3062b123f6d,e8:9e:b4:16:47:ab,1527099353,2018-05-23T12:45:53.000Z,-84
5b0562e0ea6ee3062b123f6e,dc:1a:c5:5d:c9:c3,1527099357,2018-05-23T12:45:57.000Z,-99
5b0562e0ea6ee3062b123f6f,38:a4:ed:5d:42:77,1527099361,2018-05-23T12:46:01.000Z,-88
5b0562e0ea6ee3062b123f70,a8:96:75:59:cc:3a,1527099362,2018-05-23T12:46:02.000Z,-94
5b0562e0ea6ee3062b123f71,da:a1:19:47:f9:ad,1527099363,2018-05-23T12:46:03.000Z,-84
5b0562e0ea6ee3062b123f72,a8:96:75:55:f4:a8,1527099367,2018-05-23T12:46:07.000Z,-90
5b0562e0ea6ee3062b123f73,da:a1:19:8b:01:19,1527099384,2018-05-23T12:46:24.000Z,-76
5b0562e0ea6ee3062b123f74,bc:2f:3d:20:69:e0,1527099394,2018-05-23T12:46:34.000Z,-84
5b0562e0ea6ee3062b123f75,74:23:44:3d:b6:cf,1527099411,2018-05-23T12:46:51.000Z,-80
5b0562e0ea6ee3062b123f76,da:a1:19:db:8d:41,1527099425,2018-05-23T12:47:05.000Z,-76
5b0563b8ea6ee3062a10577b,dc:1a:c5:b6:74:e3,1527099541,2018-05-23T12:49:01.000Z,-88
5b0563b8ea6ee3062a10577c,a8:96:75:7d:ae:84,1527099545,2018-05-23T12:49:05.000Z,-88
5b0563b8ea6ee3062a10577d,bc:d1:1f:16:db:6c,1527099548,2018-05-23T12:49:08.000Z,-90
5b0563b8ea6ee3062a10577e,5c:99:60:cc:67:d7,1527099549,2018-05-23T12:49:09.000Z,-91
5b0563b8ea6ee3062a10577f,7c:78:7e:ee:4d:c1,1527099551,2018-05-23T12:49:11.000Z,-85
5b0563b8ea6ee3062a105780,20:82:c0:6c:3e:d2,1527099554,2018-05-23T12:49:14.000Z,-87
5b0563b8ea6ee3062a105781,da:a1:19:57:4d:74,1527099557,2018-05-23T12:49:17.000Z,-91
5b0563b8ea6ee3062a105782,da:a1:19:64:df:ca,1527099557,2018-05-23T12:49:17.000Z,-89
5b0563b8ea6ee3062a105783,74:23:44:3d:b6:cf,1527099572,2018-05-23T12:49:32.000Z,-83
5b0563b8ea6ee3062a105784,da:a1:19:c2:61:15,1527099580,2018-05-23T12:49:40.000Z,-76
5b0563b8ea6ee3062a105785,dc:1a:c5:5d:c9:c3,1527099597,2018-05-23T12:49:57.000Z,-99
5b0563b8ea6ee3062a105786,1c:67:58:c7:25:ce,1527099602,2018-05-23T12:50:02.000Z,-88
5b0563b8ea6ee3062a105787,dc:55:83:d0:eb:7d,1527099608,2018-05-23T12:50:08.000Z,-80
5b0563b8ea6ee3062a105788,a8:96:75:59:cc:3a,1527099615,2018-05-23T12:50:15.000Z,-88
5b0563b8ea6ee3062a105789,c8:f2:30:e7:3d:6e,1527099616,2018-05-23T12:50:16.000Z,-96
5b0563b8ea6ee3062a10578a,a8:96:75:68:62:dd,1527099621,2018-05-23T12:50:21.000Z,-88
5b0563b8ea6ee3062a10578b,da:a1:19:ab:b8:c2,1527099626,2018-05-23T12:50:26.000Z,-71
5b0563b8ea6ee3062a10578c,da:a1:19:ac:b9:6d,1527099646,2018-05-23T12:50:46.000Z,-79
5b056490ea6ee3062b124e7c,e8:9e:b4:16:47:ab,1527099748,2018-05-23T12:52:28.000Z,-82
5b056490ea6ee3062b124e7d,7c:78:7e:ee:4d:c1,1527099749,2018-05-23T12:52:29.000Z,-67
5b056490ea6ee3062b124e7e,f4:f1:e1:eb:2c:d4,1527099756,2018-05-23T12:52:36.000Z,-82
5b056490ea6ee3062b124e7f,c8:f2:30:e7:3d:6e,1527099759,2018-05-23T12:52:39.000Z,-93
5b056490ea6ee3062b124e80,20:82:c0:6c:3e:d2,1527099765,2018-05-23T12:52:45.000Z,-85
5b056490ea6ee3062b124e81,da:a1:19:f2:36:21,1527099769,2018-05-23T12:52:49.000Z,-80
5b056490ea6ee3062b124e82,da:a1:19:af:63:5f,1527099772,2018-05-23T12:52:52.000Z,-88
5b056490ea6ee3062b124e83,dc:1a:c5:b6:74:e3,1527099780,2018-05-23T12:53:00.000Z,-83
5b056490ea6ee3062b124e84,bc:d1:1f:16:db:6c,1527099791,2018-05-23T12:53:11.000Z,-83
5b056490ea6ee3062b124e85,da:a1:19:5a:0c:c0,1527099803,2018-05-23T12:53:23.000Z,-87
5b056490ea6ee3062b124e86,da:a1:19:f0:7a:b0,1527099803,2018-05-23T12:53:23.000Z,-89
5b056490ea6ee3062b124e87,da:a1:19:c6:78:2c,1527099804,2018-05-23T12:53:24.000Z,-87
5b056490ea6ee3062b124e88,da:a1:19:b2:2d:e1,1527099830,2018-05-23T12:53:50.000Z,-74
5b056490ea6ee3062b124e89,dc:1a:c5:5d:c9:c3,1527099837,2018-05-23T12:53:57.000Z,-83
5b056490ea6ee3062b124e8a,da:a1:19:cc:4b:42,1527099839,2018-05-23T12:53:59.000Z,-80
5b056490ea6ee3062b124e8b,a4:44:d1:0a:62:3a,1527099844,2018-05-23T12:54:04.000Z,-84
5b056490ea6ee3062b124e8c,da:a1:19:a0:52:1a,1527099859,2018-05-23T12:54:19.000Z,-90
5b056490ea6ee3062b124e8d,a8:96:75:59:cc:3a,1527099860,2018-05-23T12:54:20.000Z,-85
